flag,nimble_version,esp_async_repo,esp_async_version
MARAUDER_FLIPPER,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_MULTIBOARD_S3,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_V4,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_V6,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_V6_1,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_KIT,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_MINI,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
ESP32_LDDB,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_DEV_BOARD_PRO,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_M5STICKC,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_M5STICKCP2,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_REV_FEATHER,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_V7,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_CYD_MICRO,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_CYD_GUITION,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_CYD_2USB,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_V7_1,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_CARDPUTER,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
MARAUDER_C5,2.3.0,bigbrodude6119/ESPAsyncWebServer,master
GENERIC_ESP32,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
DOIT_DEVKIT_V1,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
NODEMCU_32S,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
DEVKITC_V4,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
WROOM_DA,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
WROVER_MODULE,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
WROVER_KIT,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
PICO_D4,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
ESP32_CAM,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
LOLIN_D32,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
LOLIN_D32_PRO,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
FIREBEETLE2,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
HELTEC_V3,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
ESP32_S2,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
ESP32_S2_SAOLA,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
ESP32_CS,2.3.0,bigbrodude6119/ESPAsyncWebServer,master
ESP32_S3_DEV,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
ESP32_3248S035,1.3.8,bigbrodude6119/ESPAsyncWebServer,master
