board_label,NEOPIXEL,BUZZER,BTN1,BTN2,BTN3,WIFI_MISO,WIFI_MOSI,WIFI_SCK,WIFI_CS,WIFI2_MISO,WIFI2_MOSI,WIFI2_SCK,WIFI2_CS,NRF24_MISO,NRF24_MOSI,NRF24_SCK,NRF24_CS,NRF24_CE
M5StickCPlus 2,,,,,,,,,,,,,,,,,,
Marauder v6,,,,13,14,,,,,,,,,,,,,
ESP32-3248S035 LCD,,,,,,,,,,,,,,,,,,
Generic ESP32 Dev Module,,,,,,,,,,,,,,,,,,
DOIT ESP32 DEVKIT V1,,,,,,,,,,,,,,,,,,
NodeMCU-32S,,,,,,,,,,,,,,,,,,
ESP32 DevKitC V4,,,,,,,,,,,,,,,,,,
ESP32 WROOM-DA Module,,,,,,,,,,,,,,,,,,
ESP32 WROVER Module,,,,,,,,,,,,,,,,,,
ESP32 WROVER Kit (all versions),,,,,,,,,,,,,,,,,,
ESP32 PICO-D4,,,,,,,,,,,,,,,,,,
AI Thinker ESP32-CAM,,,4,0,2,,,,,,,,,,,,,
Lolin D32,,,,,,,,,,,,,,,,,,
Lolin D32 Pro,,,,,,,,,,,,,,,,,,
FireBeetle2 ESP32-E,,,,,,,,,,,,,,,,,,
Heltec WiFi Kit 32 (V3),45,46,,,,,,,,,,,,,,,,
ESP32-S2 Dev Module,,,,,,,,,,,,,,,,,,
ESP32-S2 Saola-1,,,,,,,,,,,,,,,,,,
Adafruit Feather ESP32-S2,,,,,,,,,,,,,,,,,,
ESP32-S3 Dev Module,,,,,,,,,,,,,,,,,,
Adafruit Feather ESP32-S3 (2MB PSRAM),,,,,,,,,,,,,,,,,,
M5StickC / M5StickC-Plus,,,37,39,,,,,,,,,,,,,,
M5Stamp S3,,,,,,,,,,,,,,,,,,
Flipper Zero WiFi Dev Board,,,,,,,,,,,,,,,,,,
Flipper Zero Multi Board S3,,,,,,,,,,,,,,,,,,
OG Marauder,,,,,,,,,,,,,,,,,,
Marauder v6.1,,,,,,,,,,,,,,,,,,
Marauder Kit,,,,,,,,,,,,,,,,,,
Marauder Mini,,,,,,,,,,,,,,,,,,
ESP32 LDDB,,,,,,,,,,,,,,,,,,
Marauder Dev Board Pro,,,,,,,,,,,,,,,,,,
M5StickCPlus,,,37,39,,,,,,,,,,,,,,
Rev Feather,,,,,,,,,,,,,,,,,,
Marauder v7,,,,,,,,,,,,,,,,,,
Marauder CYD 2432S028,,,,,,,,,,,,,,,,,,
Marauder CYD 2432S024 GUITION,,,,,,,,,,,,,,,,,,
Marauder CYD 2432S028 2 USB,,,,,,,,,,,,,,,,,,
Marauder v7.1,,,,,,,,,,,,,,,,,,
M5Cardputer,,,,,,,,,,,,,,,,,,
ESP32-C5-DevKitC-1,,,,,,,,,,,,,,,,,,
Generic ESP32,,,,,,,,,,,,,,,,,,
ESP32-CS Board,,,,,,,,,,,,,,,,,,
AirysDark build,,,,,,,,,,,,,,,,,,
