board_label,I2C_SDA,I2C_SCL,GPS_RX,GPS_TX,GPS_PPS,GPS_EN,UART0_TX,UART0_RX,UART1_TX,UART1_RX,UART2_TX,UART2_RX,SPI_MOSI,SPI_MISO,SPI_SCK,GPS_RST
M5StickCPlus 2,,,,,,,,,,,,,,,,
Marauder v6,21.0,22.0,,,,,,,,,,,,,,
ESP32-3248S035 LCD,21.0,22.0,,,,,,,,,,,,,,
Generic ESP32 Dev Module,21.0,22.0,,,,,1,3,10,9,17,16,23,19,18,
DOIT ESP32 DEVKIT V1,21.0,22.0,,,,,1,3,10,9,17,16,23,19,18,
NodeMCU-32S,21.0,22.0,,,,,1,3,10,9,17,16,23,19,18,
ESP32 DevKitC V4,21.0,22.0,,,,,1,3,10,9,17,16,23,19,18,
ESP32 WROOM-DA Module,21.0,22.0,,,,,,,,,,,,,,
ESP32 WROVER Module,21.0,22.0,,,,,,,,,,,,,,
ESP32 WROVER Kit (all versions),21.0,22.0,,,,,,,,,,,,,,
ESP32 PICO-D4,21.0,22.0,,,,,,,,,,,,,,
AI Thinker ESP32-CAM,21.0,22.0,,,,,,,,,,,,,,
Lolin D32,21.0,22.0,,,,,,,,,,,,,,
Lolin D32 Pro,21.0,22.0,,,,,,,,,,,,,,
FireBeetle2 ESP32-E,21.0,22.0,,,,,,,,,,,,,,
Heltec WiFi Kit 32 (V3),21.0,22.0,,,,,,,,,,,,,,
ESP32-S2 Dev Module,34.0,33.0,,,,,,,,,,,,,,
ESP32-S2 Saola-1,34.0,33.0,,,,,,,,,,,,,,
Adafruit Feather ESP32-S2,34.0,33.0,,,,,,,,,,,,,,
ESP32-S3 Dev Module,8.0,9.0,,,,,,,,,,,,,,
Adafruit Feather ESP32-S3 (2MB PSRAM),8.0,9.0,,,,,,,,,,,,,,
M5StickC / M5StickC-Plus,21.0,22.0,,,,,,,,,,,,,,
M5Stamp S3,8.0,9.0,,,,,,,,,,,,,,
Flipper Zero WiFi Dev Board,34.0,33.0,,,,,,,,,,,,,,
Flipper Zero Multi Board S3,8.0,9.0,,,,,,,,,,,,,,
OG Marauder,21.0,22.0,,,,,,,,,,,,,,
Marauder v6.1,21.0,22.0,,,,,,,,,,,,,,
Marauder Kit,21.0,22.0,,,,,,,,,,,,,,
Marauder Mini,21.0,22.0,,,,,,,,,,,,,,
ESP32 LDDB,21.0,22.0,,,,,,,,,,,,,,
Marauder Dev Board Pro,21.0,22.0,,,,,,,,,,,,,,
M5StickCPlus,21.0,22.0,,,,,,,,,,,,,,
Rev Feather,21.0,22.0,,,,,,,,,,,,,,
Marauder v7,21.0,22.0,,,,,,,,,,,,,,
Marauder CYD 2432S028,21.0,22.0,,,,,,,,,,,,,,
Marauder CYD 2432S024 GUITION,21.0,22.0,,,,,,,,,,,,,,
Marauder CYD 2432S028 2 USB,21.0,22.0,,,,,,,,,,,,,,
Marauder v7.1,21.0,22.0,,,,,,,,,,,,,,
M5Cardputer,8.0,9.0,,,,,,,,,,,,,,
ESP32-C5-DevKitC-1,8.0,9.0,,,,,,,,,,,,,,
Generic ESP32,21.0,22.0,,,,,,,,,,,,,,
ESP32-CS Board,21.0,22.0,,,,,,,,,,,,,,
AirysDark build,8.0,9.0,,,,,,,,,,,,,,
